ProjectId,ComplexityScore,TotalBlocks,UniqueTargets,ControlBlocks,CustomBlocks
99595270,192.0,344,10,0,0
99480666,192.0,352,8,0,0
97911103,192.0,324,15,0,0
99793705,192.0,356,7,0,0
99190742,192.0,312,18,0,0
99401724,192.0,344,10,0,0
95808039,192.0,248,34,0,0
99621198,192.0,332,13,0,0
98929071,191.5,279,26,0,0
93620282,191.5,247,34,0,0
99600076,191.5,331,13,0,0
98619816,191.5,331,13,0,0
98620127,191.5,215,42,0,0
99534769,191.5,359,6,0,0
93433731,191.5,327,14,0,0
98394931,191.5,275,27,0,0
97419938,191.5,335,12,0,0
98577454,191.5,283,25,0,0
95669673,191.5,339,11,0,0
99093782,191.5,299,21,0,0
97409544,191.5,331,13,0,0
94943886,191.5,303,20,0,0
89820336,191.5,307,19,0,0
99778223,191.5,343,10,0,0
99733677,191.5,371,3,0,0
99458999,191.5,343,10,0,0
99011223,191.5,307,19,0,0
98375324,191.5,319,16,0,0
99246022,191.5,307,19,0,0
98595041,191.5,283,25,0,0
98598607,191.5,359,6,0,0
98144913,191.5,315,17,0,0
99026065,191.5,323,15,0,0
99484195,191.5,315,17,0,0
99545498,191.5,351,8,0,0
99611514,191.5,327,14,0,0
97076957,191.5,255,32,0,0
98166690,191.5,347,9,0,0
98028456,191.5,307,19,0,0
99488993,191.5,251,33,0,0
99491960,191.5,311,18,0,0
98634174,191.5,307,19,0,0
98643235,191.5,331,13,0,0
99636413,191.5,315,17,0,0
13223646,191.5,359,6,0,0
98280247,191.5,303,20,0,0
99160958,191.5,235,37,0,0
99169082,191.5,235,37,0,0
98897620,191.5,343,10,0,0
99793632,191.5,367,4,0,0
86593244,191.5,343,10,0,0
86691726,191.5,295,22,0,0
97450863,191.5,283,25,0,0
96759031,191.5,283,25,0,0
98825536,191.5,247,34,0,0
99003766,191.5,283,25,0,0
99554480,191.5,271,28,0,0
97946481,191.5,327,14,0,0
99166288,191.5,235,37,0,0
96549669,191.0,334,12,0,0
98991580,191.0,354,7,0,0
78333956,191.0,334,12,0,0
99735396,191.0,350,8,0,0
99599684,191.0,338,11,0,0
98668730,191.0,310,18,0,0
99732331,191.0,326,14,0,0
99058774,191.0,350,8,0,0
98858529,191.0,350,8,0,0
95035487,191.0,346,9,0,0
98827192,191.0,350,8,0,0
95415107,191.0,338,11,0,0
99597096,191.0,358,6,0,0
98180342,191.0,290,23,0,0
99139263,191.0,338,11,0,0
98565484,191.0,266,29,0,0
99791797,191.0,334,12,0,0
79777052,191.0,314,17,0,0
99546162,191.0,322,15,0,0
98005913,191.0,350,8,0,0
99486723,191.0,350,8,0,0
99711992,191.0,314,17,0,0
98661977,191.0,314,17,0,0
98615305,191.0,346,9,0,0
99545025,191.0,322,15,0,0
98057383,191.0,314,17,0,0
99549226,191.0,358,6,0,0
98741527,191.0,298,21,0,0
99484783,191.0,350,8,0,0
99716048,191.0,306,19,0,0
98722394,191.0,314,17,0,0
98669627,190.5,313,17,0,0
99786599,190.5,329,13,0,0
99026340,190.5,317,16,0,0
98526028,190.5,325,14,0,0
98156485,190.5,293,22,0,0
99349918,190.5,321,15,0,0
99138165,190.5,281,25,0,0
98612886,190.5,341,10,0,0
99530857,190.5,265,29,0,0
98742291,190.5,321,15,0,0
99374470,190.5,341,10,0,0
98767893,190.5,317,16,0,0
92399275,190.5,345,9,0,0
98870687,190.5,301,20,0,0
99466103,190.5,281,25,0,0
99514417,190.5,309,18,0,0
98275357,190.5,365,4,0,0
58599666,190.5,317,16,0,0
99950743,190.5,305,19,0,0
99081145,190.5,325,14,0,0
98557897,190.5,305,19,0,0
98697315,190.5,349,8,0,0
99769816,190.5,317,16,0,0
98692202,190.5,301,20,0,0
98081255,190.5,337,11,0,0
99574156,190.5,341,10,0,0
98590542,190.5,313,17,0,0
99492655,190.5,213,42,0,0
99615322,190.5,333,12,0,0
95527493,190.5,361,5,0,0
98401864,190.5,305,19,0,0
95498412,190.5,305,19,0,0
99482426,190.5,349,8,0,0
98589401,190.5,329,13,0,0
99179834,190.5,333,12,0,0
97740940,190.5,325,14,0,0
98966527,190.5,345,9,0,0
98581981,190.5,325,14,0,0
99239427,190.5,325,14,0,0
96023176,190.5,341,10,0,0
99180571,190.5,333,12,0,0
98449483,190.5,337,11,0,0
99386618,190.5,341,10,0,0
94593519,190.5,249,33,0,0
98629053,190.5,329,13,0,0
94675267,190.0,324,14,0,0
97413113,190.0,304,19,0,0
98618840,190.0,316,16,0,0
99878654,190.0,356,6,0,0
99574927,190.0,316,16,0,0
99774256,190.0,344,9,0,0
99473610,190.0,352,7,0,0
99409831,190.0,356,6,0,0
96219913,190.0,292,22,0,0
96010866,190.0,344,9,0,0
98662112,190.0,332,12,0,0
98641445,190.0,332,12,0,0
26344392,190.0,336,11,0,0
17647115,190.0,344,9,0,0
99156327,190.0,156,56,0,0
97987663,190.0,340,10,0,0
97856696,190.0,308,18,0,0
99022147,190.0,320,15,0,0
99063768,190.0,356,6,0,0
99180590,190.0,296,21,0,0
99498495,190.0,348,8,0,0
99448479,190.0,340,10,0,0
99907213,190.0,340,10,0,0
99250366,190.0,308,18,0,0
99606512,190.0,316,16,0,0
94714561,190.0,328,13,0,0
99491730,190.0,308,18,0,0
98775679,190.0,348,8,0,0
99801544,190.0,256,31,0,0
98788314,190.0,324,14,0,0
99632436,190.0,336,11,0,0
99270606,190.0,304,19,0,0
98962067,190.0,328,13,0,0
99777048,190.0,336,11,0,0
99328387,190.0,260,30,0,0
98848207,189.5,335,11,0,0
99539656,189.5,319,15,0,0
99507711,189.5,367,3,0,0
98518121,189.5,311,17,0,0
99960043,189.5,323,14,0,0
99501116,189.5,315,16,0,0
99471312,189.5,307,18,0,0
99322428,189.5,347,8,0,0
99304325,189.5,299,20,0,0
99176887,189.5,331,12,0,0
99329048,189.5,355,6,0,0
98673019,189.5,291,22,0,0
99947243,189.5,331,12,0,0
98997868,189.5,263,29,0,0
98730087,189.5,279,25,0,0
99020532,189.5,291,22,0,0
99687240,189.5,263,29,0,0
99237360,189.5,271,27,0,0
99349789,189.5,231,37,0,0
99123331,189.5,363,4,0,0
98740328,189.5,355,6,0,0
98593028,189.5,319,15,0,0
99757316,189.5,327,13,0,0
99523634,189.5,311,17,0,0
99549841,189.0,298,20,0,0
90760246,189.0,254,31,0,0
97130222,189.0,258,30,0,0
97955850,189.0,334,11,0,0
96564883,189.0,342,9,0,0
98870720,189.0,334,11,0,0
98478851,189.0,370,2,0,0
98772391,189.0,350,7,0,0
98727245,189.0,338,10,0,0
98296135,189.0,322,14,0,0
99005688,189.0,338,10,0,0
97765523,189.0,342,9,0,0
97067714,189.0,358,5,0,0
99914011,189.0,270,27,0,0
99608979,189.0,318,15,0,0
99849522,189.0,326,13,0,0
98361828,189.0,262,29,0,0
99609177,189.0,342,9,0,0
98747210,189.0,342,9,0,0
99021814,189.0,354,6,0,0
98003056,189.0,354,6,0,0
99617004,189.0,322,14,0,0
97926280,189.0,270,27,0,0
98588439,189.0,330,12,0,0
99574680,189.0,318,15,0,0
97616260,189.0,334,11,0,0
97697490,189.0,338,10,0,0
98957956,189.0,322,14,0,0
98116783,189.0,290,22,0,0
98397008,189.0,318,15,0,0
99721128,189.0,366,3,0,0
98642354,189.0,338,10,0,0
99470854,189.0,350,7,0,0
92817302,189.0,306,18,0,0
99008019,189.0,334,11,0,0
98630287,189.0,342,9,0,0
99324201,189.0,294,21,0,0
99461845,189.0,354,6,0,0
96749775,189.0,342,9,0,0
99517817,189.0,342,9,0,0
99163918,188.5,297,20,0,0
99951097,188.5,353,6,0,0
98743733,188.5,261,29,0,0
98811260,188.5,325,13,0,0
98562085,188.5,337,10,0,0
98922226,188.5,325,13,0,0
98346847,188.5,297,20,0,0
98735732,188.5,329,12,0,0
96777026,188.5,321,14,0,0
97433001,188.5,325,13,0,0
98052433,188.5,317,15,0,0
99238836,188.5,321,14,0,0
99559294,188.5,365,3,0,0
99473547,188.5,305,18,0,0
98762494,188.5,333,11,0,0
98198655,188.5,321,14,0,0
96255713,188.5,241,34,0,0
99895325,188.5,257,30,0,0
99228105,188.5,313,16,0,0
98622353,188.5,333,11,0,0
99624613,188.5,345,8,0,0
99216280,188.5,321,14,0,0
96958118,188.5,349,7,0,0
99301442,188.5,305,18,0,0
98932831,188.5,277,25,0,0
75255832,188.5,281,24,0,0
98732695,188.5,305,18,0,0
98890268,188.5,245,33,0,0
99467106,188.5,329,12,0,0
98490989,188.5,293,21,0,0
95078584,188.5,333,11,0,0
96675316,188.5,277,25,0,0
97281973,188.5,317,15,0,0
96846450,188.5,337,10,0,0
99854043,188.5,349,7,0,0
99496825,188.5,193,46,0,0
95567713,188.5,281,24,0,0
95944005,188.0,288,22,0,0
97827803,188.0,336,10,0,0
98616323,188.0,312,16,0,0
99634611,188.0,348,7,0,0
98734296,188.0,292,21,0,0
99041658,188.0,316,15,0,0
97275843,188.0,344,8,0,0
99148597,188.0,276,25,0,0
95482767,188.0,296,20,0,0
98985447,188.0,364,3,0,0
99850394,188.0,180,49,0,0
99175180,188.0,308,17,0,0
